X,Y,OBJECTID,site_name,feature_type_name,EASTING,NORTHING,asset_id_code,site_code,number_bins,bin_size
326797.29,676041.67,2483504,Junction Place,WS: Bottle Bank - Mixed,326797,676042,,7901180,1,660
326796.79,676041.779999999,2483505,Junction Place,WS: Packaging,326797,676042,,7901180,2,1100
326652.57,676285.119999999,2483506,Taylor Gardens,WS: Bottle Bank - Mixed,326653,676285,,7901324,1,500
326651.68,676285.130000001,2483507,Taylor Gardens,WS: Packaging,326652,676285,,7901324,2,1100
325689.61,677095.01,2483508,Newhaven Place,WS: Communal Bin,325690,677095,,7901225,2,1280
326402.29,676403.779999999,2483509,Largo Place,WS: Bottle Bank - Mixed,326402,676404,,7901185,1,500
326401.64,676404.130000001,2483510,Largo Place,WS: Packaging,326402,676404,,7901185,3,1100
326401.63,676403.630000001,2483511,Largo Place,WS: Communal Bin,326402,676404,,7901185,3,1100
326420.59,676366.869999999,2483512,Largo Place,WS: Bottle Bank - Mixed,326421,676367,,7901185,1,660
326421.6,676367.189999999,2483513,Largo Place,WS: Packaging,326422,676367,,7901185,2,1100
320617,671688,2483514,Saughton Mains Park,WS: Communal Bin,320617,671688,,7903228,1,1100
320711,671654,2483515,Saughton Mains Park,WS: Communal Bin,320711,671654,,7903228,1,1100
320676,671690,2483516,Saughton Mains Park,WS: Packaging,320676,671690,,7903228,2,1100
320676,671690,2483517,Saughton Mains Park,WS: Communal Bin,320676,671690,,7903228,2,1100
320653,671617,2483518,Saughton Mains Park,WS: Packaging,320653,671617,,7903228,2,1100
320653,671617,2483519,Saughton Mains Park,WS: Communal Bin,320653,671617,,7903228,2,1100
320599,671609,2483520,Saughton Mains Park,WS: Packaging,320599,671609,,7903228,2,1100
320599,671609,2483521,Saughton Mains Park,WS: Communal Bin,320599,671609,,7903228,2,1280
320566,671654,2483522,Saughton Mains Park,WS: Packaging,320566,671654,,7903228,2,1100
320566,671654,2483523,Saughton Mains Park,WS: Communal Bin,320566,671654,,7903228,2,1280
326642.09,676523.16,2483524,Couper Street,WS: Bottle Bank - Mixed,326642,676523,,7903770,1,660
326641.84,676522.74,2483525,Couper Street,WS: Packaging,326642,676523,,7903770,2,1100
326642.17,676522.57,2483526,Couper Street,WS: Communal Bin,326642,676523,,7903770,2,1100
326511.25,676552.789999999,2483527,Admiralty Street,WS: Bottle Bank - Mixed,326511,676553,,7901043,1,660
326511.26,676553.289999999,2483528,Admiralty Street,WS: Packaging,326511,676553,,7901043,2,1100
326511.61,676553.859999999,2483529,Admiralty Street,WS: Communal Bin,326512,676554,,7901043,2,1100
326516.61,676548.27,2483530,Admiralty Street,WS: Bottle Bank - Mixed,326517,676548,,7901043,1,660
326516.27,676547.6,2483531,Admiralty Street,WS: Packaging,326516,676548,,7901043,3,1100
326515.6,676548.029999999,2483532,Admiralty Street,WS: Communal Bin,326516,676548,,7901043,3,1100
326143.31,676503.449999999,2483533,Lapicide Place,WS: Bottle Bank - Mixed,326143,676503,,7901184,1,660
326144.15,676503.439999999,2483534,Lapicide Place,WS: Packaging,326144,676503,,7901184,2,1100
326145.34,676504.58,2483535,Lapicide Place,WS: Communal Bin,326145,676505,,7901184,2,1100
326264.62,676577.560000001,2483536,Madeira Street,WS: Packaging,326265,676578,,7901211,2,1100
326263.78,676577.07,2483537,Madeira Street,WS: Bottle Bank - Mixed,326264,676577,,7901211,1,660
326289.21,676556.09,2483538,Madeira Street,WS: Bottle Bank - Mixed,326289,676556,,7901211,1,660
326289.21,676556.09,2483539,Madeira Street,WS: Packaging,326289,676556,,7901211,2,1100
326289.7,676555.74,2483540,Madeira Street,WS: Communal Bin,326290,676556,,7901211,2,1100
326338.24,676485.75,2483541,Madeira Street,WS: Bottle Bank - Mixed,326338,676486,,7901211,1,660
326336.75,676486.939999999,2483542,Madeira Street,WS: Packaging,326337,676487,,7901211,2,1100
326336.93,676487.27,2483543,Madeira Street,WS: Communal Bin,326337,676487,,7901211,2,1100
326437.55,676624.220000001,2483544,Prince Regent Street,WS: Bottle Bank - Mixed,326438,676624,,7901252,1,660
326437.97,676624.539999999,2483545,Prince Regent Street,WS: Packaging,326438,676625,,7901252,2,1100
326436.79,676624.060000001,2483546,Prince Regent Street,WS: Communal Bin,326437,676624,,7901252,2,1280
326424.46,676622.02,2483547,Prince Regent Street,WS: Bottle Bank - Mixed,326424,676622,,7901252,1,500
326425.28,676621.91,2483548,Prince Regent Street,WS: Packaging,326425,676622,,7901252,2,1100
326425.21,676622.26,2483549,Prince Regent Street,WS: Communal Bin,326425,676622,,7901252,2,1100
326379.54,676595.640000001,2483550,Prince Regent Street,WS: Bottle Bank - Mixed,326380,676596,,7901252,1,660
326379.53,676594.890000001,2483551,Prince Regent Street,WS: Packaging,326380,676595,,7901252,2,1100
